ID;Order;Familiarity;A;B;C;D;isPianist;Gender;A_diagram_before;A_diagram_after;B_diagram_before;B_diagram_after;Connection_A;Connection_B;A_diagram_var;B_diagram_var
P01;ABCD;SSSS;A;B;C;D;Yes;F;1;3;1;2;3;2;2;1
P02;BCAD;FFPH;A;B;C;D;Yes;M;1;7;6.5;7;5;5;6;0.5
P03;BACD;SSSS;A;B;C;D;Yes;M;2;1;1;2;2;2;-1;1
P04;ABCD;FSMS;A;B;C;D;Yes;M;2;2;3;5;2;4;0;2
P05;ABDC;PSSS;A-P05;B;C;D;No;F;2;4;1;1;5;2;2;0
P06;DCAB;RASS;A-P05;B;C;D;No;F;7;7;1;4;5;5;0;3
P07;ABCD;PFFS;A-P07;B;C;D;Yes;M;4;6;3;6;5;5;2;3
P08;DCBA;SSSS;A;B;C;D;Yes;M;1;3;1;2;3;2;2;1
P09;ABDC;FSSS;A;B;C;D;No;F;2;4;1;2;4;3;2;1
P10;DCBA;FSRS;A;B;C;D;Yes;M;4;6;2;3;5;4;2;1
P11;BADC;PFSS;A-P11;B;C;D;Yes;M;3;6;3;5;5;3;3;2
P12;CDAB;RSMS;A;B;C;D;No;F;2;4;1;2;3;2;2;1
P13;ADBC;SSRH;A;B;C;D;Yes;M;3;4;1;3;4;3;1;2
P14;BACD;FSMS;A;B;C;D;No;F;4;5;1;2;5;2;1;1
P15;BADC;FSSS;A;B;C;D;No;M;3;3;1;2;2;3;0;1
P16;ABDC;SSSS;A;B;C;D;Yes;F;2;4;1;6;4;5;2;5
P17;CDAB;SSSS;A;B;C;D;No;F;1;1;1;2;2;2;0;1
P18;CDBA;ASSS;A;B;C;D;No;F;1;2;1;1;2;1;1;0
P19;ABDC;ASMS;A;B;C;D;No;M;2;2;1;2;2;4;0;1
P20;DCAB;FASS;A;B;C;D;No;F;3;4;1;3;5;5;1;2
P21;CDAB;FSSS;A;B;C;D;Yes;M;7;7;2;4;5;4;0;2
P22;BADC;FSSS;A;B;C;D;No;F;3;4;1;4;2;4;1;3
P23;ABCD;FRMS;A;B;C;D;No;F;1;2;4;6;4;5;1;2
P24;DCAB;RSMS;A-P11;B;C;D;No;F;4;4;1;1;5;2;0;0
P25;BACD;FFMS;A;B;C;D;No;F;5;7;6;7;5;5;2;1
P26;DCBA;RASS;A-P11;B;C;D;No;F;7;7;1;1;3;1;0;0
P27;DCAB;ASSS;A;B;C;D;Yes;M;2;4;2;3;5;4;2;1
P28;CDAB;FRSS;A;B;C;D;No;F;2;5;6.5;7;3;5;3;0.5
